,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT"
1,Bucks,73,56,17,48.2,102.5,42.2,77.5,7.2,5.9,16.9,11.3,13.6,38.7
2,Raptors,72,53,19,48.3,104.7,35.9,72.1,8.8,5,16.9,13.5,12.7,41.5
3,Lakers,71,52,19,48.1,106.1,35.1,73.7,8.6,6.6,17.4,12,16.5,45.8
4,Clippers,72,49,23,48.3,106.9,37,73.7,7.1,4.7,16.5,12.4,13.3,44.6
5,Celtics,72,48,24,48.4,106.5,35.4,73.1,8.3,5.6,15.1,13.2,13.2,43.4
6,Nuggets,73,46,27,48.6,110.4,33.4,72.5,8,4.6,16.2,12.2,12.4,48.2
7,Pacers,73,45,28,48.3,107.5,34.1,71.8,7.4,5.2,15,13.2,13.6,47.6
8,Rockets,72,44,28,48.3,109.8,34.5,71.3,8.7,5.2,17.8,14.1,15.1,51.5
8,Heat,73,44,29,48.6,109.3,35.9,75.3,7.5,4.5,17.9,12.8,11.4,44.1
8,Thunder,72,44,28,48.4,108.1,34.7,72.8,7.6,4.9,16,12.6,10.9,48.4
8,Jazz,72,44,28,48.2,109.3,35.8,74.6,6.1,4.1,17.1,12.1,12.5,47.4
12,Mavericks,75,43,32,48.5,111.2,36.4,74,6.1,4.8,14.3,13.4,16.4,48.8
12,76ers,73,43,30,48.2,108.4,35,75.3,8,5.3,16.4,11.6,13.7,48.1
14,Nets,72,35,37,48.6,109.2,37.3,73.6,6.4,4.5,17,13.2,13.1,46.4
14,Trail Blazers,74,35,39,48.2,114.3,35.1,71.2,6.3,6.1,14.5,15.5,14.8,47
16,Grizzlies,73,34,39,48.1,109.7,36.2,73.3,7.9,5.5,17.9,13.6,13.9,45.3
16,Suns,73,34,39,48.2,110.8,33.8,73.4,7.7,4,16.6,12.5,12.7,49.8
18,Magic,73,33,40,48.1,109.2,34.2,74.9,8.2,5.4,14.3,11.2,11.9,46.3
19,Spurs,71,32,39,48.5,112.6,35.6,75.1,7.3,5.5,15.1,13.6,13,48.2
20,Kings,72,31,41,48.5,111.4,32.9,73.6,7.7,4.1,16.5,11.9,12.1,46.6
21,Pelicans,72,30,42,48.4,111.8,35.4,72.9,7.5,5,19.6,13.6,15.4,52.2
22,Wizards,72,25,47,48.2,114.7,31.9,71.2,8,4.3,16.7,14.4,12.7,51.4
23,Hornets,65,23,42,48.5,112.8,31.8,70.6,6.6,4.1,16.8,13.2,11.8,50.5
24,Bulls,65,22,43,48.2,108.9,31.4,71.9,10,4.1,17.8,12.7,12.5,49.6
25,Knicks,66,21,45,48.4,112.4,34.5,74.2,7.6,4.7,17.5,12.6,12.8,43.8
26,Hawks,67,20,47,48.6,114.4,33.4,70.8,7.8,5.1,19.5,15,14.8,53.6
26,Pistons,66,20,46,48.4,112.3,32,71.7,7.4,4.5,17.3,13.2,12.7,52
28,Cavaliers,65,19,46,48.4,114.8,33.4,73.8,6.9,3.2,20,12.7,14.4,53.6
28,Timberwolves,64,19,45,48.6,111.6,34.3,73.1,8.7,5.7,17.8,13.5,13,51.2
30,Warriors,65,15,50,48.4,113,32.9,72.2,8.2,4.6,18,13.5,15,48.8
